iso3,birthreg_incompleteness_collapsed,birthreg_incompleteness_temporal,childlabor_collapsed,childlabor_temporal,emdat_disaster_shock_collapsed,emdat_disaster_shock_temporal,ndgain_vuln_collapsed,ndgain_vuln_temporal,ucdp_conflict_intensity_collapsed,ucdp_conflict_intensity_temporal,unctad_export_concentration_collapsed,unctad_export_concentration_temporal,unhcr_idps_collapsed,unhcr_idps_temporal,unhcr_refugees_coo_collapsed,unhcr_refugees_coo_temporal
GEO,0.015000000000000013,0.015000000000000013,0.795,0.795,0.051372772469784896,0.04479025814241585,0.394291545473852,0.323618588814486,0.0002703026335315282,0.0003360579875949178,0.187,0.424392857142858,1.0,1.0,0.09047569749567312,0.07503830408602578
GHA,0.29400000000000004,0.29400000000000004,0.7190195,0.7190195,0.001025926606047146,0.005878864339378964,0.44767713779848,0.22383856889924,0.0009004452091580274,0.0010564536163532661,0.099,0.3203928571428575,0.0,0.0,0.008752908365409031,0.008827905412015448
GIN,0.38,0.38,0.9525,0.9525,0.013249464495755106,0.020235485640433037,0.529128867699774,0.4911743180125235,0.003456505804727077,0.003039484953765384,0.088,0.1105178571428518,0.0,0.0,0.06052138340206244,0.05117847374129736
GMB,0.41000000000000003,0.41000000000000003,0.59375,0.59375,0.009085184428338094,0.014463863198820611,0.523533496440462,0.36303854291356474,0.0,0.0,0.151,0.325767857142856,0.0,0.0,0.0576814102090299,0.06786845540670054
GNB,0.54,0.54,1.0,1.0,0.0,0.004288584280712141,0.612813055195004,0.4352387205935554,0.0,0.0,0.193,0.30266071428571095,0.0,0.0,0.01735297217346431,0.01724782849821487
GNQ,0.46499999999999997,0.46499999999999997,,,0.0060768310545326965,0.005033481762720697,0.410022341424303,0.4251044337519198,0.0,0.0,0.078,0.10114285714286692,0.0,0.0,0.004575919041107182,0.003688743730982538
GRC,0.0,0.0,,,0.5046773544675157,0.5036757348243339,0.336942727170887,0.39988117974507265,0.0,0.0,0.141,0.20299999999999352,0.0,0.0,0.00019413493377403885,0.00019404775138574316
GRD,,,,,0.5120299982082982,0.5364914381790186,0.382845559266962,0.3793916254142136,0.0,0.0,0.157,0.28233928571428224,,0.0,0.015698721066147926,0.015009407864673181
GTM,0.03599999999999992,0.03599999999999992,0.1810660104118365,0.1810660104118365,0.32295178530419844,0.2608476367785529,0.434283135074688,0.3246917048991391,0.0006519486010242438,0.0007221137875149844,0.102,0.23662499999999784,0.6226109139781529,0.1830736460934995,0.04009592554399271,0.03457248401484349
GUY,0.019000000000000017,0.019000000000000017,,,0.02105676060388383,0.03109150622764597,0.429963119228701,0.2149815596143505,0.0,0.0,0.117,0.21716071428571349,0.0,0.0,0.007099136432166549,0.007066293042941865
HND,0.030000000000000027,0.030000000000000027,0.26254675,0.26254675,0.2645841106115695,0.13988663935470944,0.445033865898592,0.38983483550087994,0.015149131654544743,0.01689608633995973,0.098,0.17587499999999662,0.4564876756733489,0.4391648217038308,0.19871226838571132,0.14655799459485577
HRV,0.0,0.0,,,0.3610296932388392,0.30394175622634384,0.379827797909711,0.4258060742230932,0.0,0.0,0.068,0.2504285714285709,0.0,1.7856187918071796e-05,0.09231803838394288,0.10082169750882067
HTI,0.15200000000000002,0.15200000000000002,0.945,0.945,0.18910118676851595,0.5720256216740615,0.509488409313646,0.45607866920344253,0.08222512747230698,0.09151166743446955,0.155,0.36928571428571394,1.0,1.0,0.2676971536430021,0.17897981961985193
HUN,0.0,0.0,,,0.11765241085476828,0.11421818838587726,0.353221510745416,0.37650531684709765,0.0,0.0,0.072,0.2139464285714291,0.0,0.0,0.005151606896627454,0.0054835510567438
IDN,0.22999999999999998,0.22999999999999998,0.0925,0.0925,0.046425124532021085,0.04518114186938519,0.43048235737393,0.22332523084373546,0.0009206741150472469,0.0009957034196918203,0.064,0.16066071428571174,0.0,0.0,0.0006465178230109557,0.000763199728924985
IND,0.1090000000000001,0.1090000000000001,0.042499999999999996,0.042499999999999996,0.024146338671440216,0.04418112953159932,0.48459732132666,0.2832843304494666,0.0019346135214332169,0.0018540800223114556,0.18,0.21598214285713804,0.0,0.0,0.00039847387016452745,0.00035142293037501943
IRL,0.0,0.0,,,0.011490439768782699,0.009874319644118713,0.315577264183443,0.3676945556140909,0.0,0.0,0.14,0.35669642857142625,0.0,0.0,6.671868252841567e-05,7.90395739772502e-05
IRN,0.014000000000000012,0.014000000000000012,,,0.03547339457047634,0.040665850848001076,0.376243477312997,0.4687683630380485,0.010211019955521889,0.00954412307849412,0.104,0.41619642857143063,0.0,0.0,0.034921032995267394,0.03193445578017827
IRQ,0.01200000000000001,0.01200000000000001,0.16,0.16,0.07673665020959661,0.040267737385303724,0.436014273233911,0.4048565748339474,0.09393594090093581,0.09176846592359025,0.065,0.26633928571428583,0.4480581486279434,0.5326437543628348,0.12719773450401767,0.1383086627837763
ISL,0.0,0.0,,,0.004741194185859987,0.0038947281688446185,0.322260848379738,0.3892396852219241,0.0,0.0,0.121,0.22460714285714006,0.0,0.0,0.0008796758653164504,0.00031428133053076576
ISR,0.0,0.0,,,0.0003519509945460379,0.009127937018777276,0.289365900016888,0.286537999718275,1.0,1.0,0.078,0.16042857142856867,0.0,0.0,0.0025485242220083413,0.0019843984919750094
ITA,0.0,0.0,,,0.4236600411068506,0.35859484590101753,0.341886849901753,0.4047958248411092,0.0,0.0,0.067,0.2393928571428565,0.0,0.0,7.090429643396849e-05,5.621607623855598e-05
JAM,0.020000000000000018,0.020000000000000018,0.155,0.155,0.029068303292329636,0.039075052503122876,0.421939152214872,0.3770009412809532,0.0,0.0,0.134,0.16485714285713737,,0.0,0.01633573133040408,0.016167198338624476
JOR,0.020000000000000018,0.020000000000000018,0.03075,0.03075,8.655853313062479e-05,0.000480293787995972,0.36633355765876,0.24124124051506535,0.0,0.0,0.083,0.17855357142856748,0.0,0.0,0.008770110576794903,0.007085989031684903
JPN,0.0,0.0,,,0.0068423792012689355,0.014216597588469472,0.368956663778576,0.43193386929577837,0.0,0.0,0.099,0.1949464285714252,0.0,0.0,7.420828770901601e-06,8.471446977383462e-06
KAZ,0.0030000000000000027,0.0030000000000000027,0.09,0.09,0.005836255220389917,0.004830147590879358,0.315840401791174,0.40824910000575776,0.0,0.0,0.086,0.27764285714285636,0.0,0.0,0.00402280997355794,0.003596634619346741
KEN,0.33099999999999996,0.33099999999999996,0.8609721541261324,0.8609721541261324,0.08201656110657633,0.06649387875446472,0.500482899095129,0.3565199963358481,0.01415839655645114,0.014239331936222848,0.139,0.2930714285714263,0.0,0.0008913052358634118,0.004301742613321751,0.0034914252818112742
KGZ,0.010999999999999899,0.010999999999999899,1.0,1.0,0.010099118399837827,0.01490962869159056,0.31058858905899,0.1879373297651437,0.014954579618458825,0.015894730206425022,0.167,0.27796428571428533,0.0,0.0029194586128219375,0.00945184819218518,0.009019532562579213
KHM,0.267,0.267,0.2875,0.2875,0.029224095220531147,0.03957577877359954,0.480602948477485,0.31099376734478024,0.0,0.0,0.122,0.260732142857144,0.0,0.0,0.012918111610874231,0.013243551151179778
KIR,0.08400000000000007,0.08400000000000007,,,0.0,0.000813173556728561,0.556980290083949,0.2784901450419745,0.0,0.0,0.109,0.0545,,,0.0007433949359936959,0.0004998550512290197
KNA,,,,,0.0,0.0010957429483349078,,,0.0,0.0,0.1,0.05,0.0,0.0,0.011954827829131355,0.013295268232547957
