GEOLEVEL1,gdis_events,gdis_years
566009,4,4
566010,5,4
566011,2,2
566012,5,5
566013,1,1
566014,2,2
566015,4,4
566016,2,2
566017,19,11
566018,6,6
566019,8,8
566020,6,6
566021,7,7
566022,7,3
566023,8,6
566024,10,7
566025,4,4
566026,14,10
566027,4,3
566028,3,3
566029,2,2
566030,15,6
566031,4,4
566032,2,2
566033,8,8
566034,4,4
566035,7,7
566036,8,6
566037,1,1
586001,101,27
586002,12,7
586003,107,33
586004,81,33
586005,83,24
586007,13,10
586008,3,3
591002,5,4
591003,15,11
591004,57,22
591005,13,8
591006,2,2
591007,6,6
591008,30,17
598002,2,2
598003,3,3
598004,3,3
598006,2,2
598007,13,8
598008,3,2
598009,6,4
598010,7,3
598011,7,5
598012,14,13
598013,9,8
598014,4,4
598015,5,5
598016,2,2
598017,1,1
598018,10,7
598019,6,5
598020,6,6
600001,16,13
600002,7,6
600003,12,2
600004,6,6
600005,25,10
600006,5,5
600007,12,9
600008,25,12
600009,6,6
600011,4,4
600013,7,6
600015,39,15
600019,10,8
604001,14,12
604002,21,16
604003,27,16
604004,61,27
604005,33,22
604006,14,11
604007,3,3
604008,48,22
604009,40,22
604010,19,14
604011,20,14
604012,22,14
604013,14,11
604014,29,10
604015,44,26
604016,22,12
604017,15,10
604018,31,14
604019,13,11
604020,11,9
604021,43,21
604022,30,18
604023,18,13
604024,13,7
604025,17,13
608001,24,16
608002,30,16
608003,30,14
608004,29,18
608005,113,39
608006,33,18
608007,2,2
608008,71,30
608010,23,6
608011,48,25
608012,29,19
608013,39,17
608014,88,32
608015,76,28
608016,68,34
608017,86,33
608018,19,15
608019,42,22
608020,79,36
608021,67,21
608022,68,24
608023,60,25
608024,30,19
608025,53,27
608026,28,21
608027,28,16
608028,74,27
608029,32,19
608030,63,23
608031,55,22
608032,53,21
608033,47,26
608034,36,4
608035,32,16
608036,81,21
608037,82,29
608039,77,34
608040,36,24
608041,56,35
608042,15,12
608043,35,18
608044,19,15
608045,57,24
608046,23,16
608047,31,15
608048,37,18
608049,59,30
608050,33,20
608051,34,20
608052,50,25
608053,43,24
608054,89,32
608055,64,26
608056,67,28
608057,22,16
608058,58,22
608060,42,26
608061,14,11
608062,6,3
608063,35,14
608064,33,17
608065,41,18
608066,15,9
608067,17,10
608068,24,15
608069,56,28
608071,74,28
608072,18,9
608073,16,9
608074,48,25
608075,14,7
608076,16,9
608077,9,5
608888,80,27
616002,22,13
616004,15,12
616006,14,12
616008,14,12
616010,16,12
616012,22,13
616014,16,13
616016,16,12
616018,16,12
616020,15,13
616022,20,11
616024,20,13
616026,16,12
616028,19,14
616030,17,12
616032,14,11
620111,7,6
620112,6,6
620115,10,8
620118,16,8
620150,6,5
620161,9,7
620162,6,6
620163,6,6
620165,6,6
620166,7,7
620167,1,1
620169,12,7
620171,2,2
620185,6,6
620189,18,6
620200,6,5
620300,3,3
630079,13,5
630081,21,5
630082,1,1
630083,4,4
642001,16,11
642002,11,7
642003,5,5
642004,24,16
642005,10,8
642006,16,11
642007,16,11
642008,11,7
642009,13,10
642010,8,7
642011,10,8
642012,13,10
642013,16,9
642014,7,5
642015,5,4
642016,14,7
642017,14,9
642018,6,4
642019,12,8
642020,13,9
642022,17,12
642024,14,9
642025,9,6
642026,16,10
642027,15,12
642028,10,8
642029,7,7
642030,11,7
642031,10,7
642032,8,6
642033,17,12
642034,9,8
642035,11,8
642036,11,9
642037,12,11
642038,3,3
642039,15,12
642043,17,13
642051,18,7
643001,11,9
643003,24,11
643004,5,4
